"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-01",,"85","72","74"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-02",,"84","70","73"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-03",,"80","65","66"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-04",,"81","58","60"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-05",,"81","58","59"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-06",,"76","50","50"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-07",,"71","47","47"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-08",,"79","47","62"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-09",,"80","48","48"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-10",,"73","48","66"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-11",,"84","66","72"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-12",,"93","72","73"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-13",,"85","65","66"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-14",,"77","53","53"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-15",,"66","45","47"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-16",,"72","46","59"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-17",,"73","44","46"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-18",,"66","41","42"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-19",,"72","41","43"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-20",,"77","43","50"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-21",,"80","49","52"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-22",,"78","52","61"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-23",,"68","48","48"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-24",,"65","42","43"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-25",,"73","41","46"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-26",,"73","45","53"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-27",,"71","49","49"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-28",,"70","49","51"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-29",,"74","47","48"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-30",,"73","47","47"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-01",,"74","46","48"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-02",,"80","48","55"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-03",,"82","54","54"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-04",,"78","53","59"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-05",,"84","59","66"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-06",,"78","65","65"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-07",,"69","64","68"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-08",,"75","46","46"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-09",,"67","46","50"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-10",,"66","50","52"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-11",,"61","52","61"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-12",,"66","58","58"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-13",,"73","54","55"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-14",,"64","46","49"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-15",,"68","46","47"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-16",,"73","46","53"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-17",,"67","53","61"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-18",,"74","56","56"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-19",,"67","40","41"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-20",,"63","41","49"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-21",,"62","37","37"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-22",,"65","37","42"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-23",,"63","36","37"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-24",,"55","37","39"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-25",,"54","31","31"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-26",,"53","29","30"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-27",,"54","29","46"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-28",,"57","32","35"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-29",,"60","34","40"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-30",,"55","36","38"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-31",,"57","38","47"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-01",,"67","47","66"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-02",,"69","46","48"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-03",,"67","44","46"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-04",,"48","29","30"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-05",,"45","30","31"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-06",,"53","31","39"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-07",,"60","34","40"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-08",,"60","35","39"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-09",,"50","29","38"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-10",,"49","34","34"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-11",,"60","34","40"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-12",,"52","35","35"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-13",,"37","27","27"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-14",,"39","27","31"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-15",,"51","28","29"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-16",,"57","28","43"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-17",,"60","42","48"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-18",,"62","48","53"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-19",,"62","41","42"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-20",,"46","31","31"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-21",,"44","23","25"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-22",,"50","23","46"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-23",,"57","37","37"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-24",,"46","22","22"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-25",,"28","21","21"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-26",,"35","21","32"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-27",,"55","32","54"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-28",,"56","29","29"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-29",,"34","26","27"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-30",,"38","20","21"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-01",,"33","19","27"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-02",,"47","27","35"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-03",,"46","28","31"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-05",,"50","32","46"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-06",,"55","45","50"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-07",,"58","35","35"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-08",,"39","25","27"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-09",,"32","26","32"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-10",,"32","29","32"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-11",,"34","22","25"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-12",,"31","20","20"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-13",,"25","16","20"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-14",,"33","16","21"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-15",,"31","16","28"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-16",,"38","24","24"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-17",,"28","14","18"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-18",,"26","15","16"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-19",,"37","16","20"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-20",,"44","20","31"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-21",,"49","31","37"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-22",,"64","37","64"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-23",,"66","49","53"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-24",,"56","29","30"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-25",,"40","15","16"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-26",,"28","16","26"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-27",,"34","23","23"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-28",,"39","23","24"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-29",,"50","24","35"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-30",,"42","33","37"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-31",,"41","17","17"
"USC00280907","BOONTON 1 SE, NJ US","2014-01-01",,"30","17","17"
"USC00280907","BOONTON 1 SE, NJ US","2014-01-02",,"32","17","26"
"USC00280907","BOONTON 1 SE, NJ US","2014-01-03",,"27","11","13"
"USC00280907","BOONTON 1 SE, NJ US","2014-01-04",,"16","0","3"
"USC00280907","BOONTON 1 SE, NJ US","2014-01-05",,"24","1","19"
"USC00280907","BOONTON 1 SE, NJ US","2014-01-06",,"55","7","55"
"USC00280907","BOONTON 1 SE, NJ US","2014-01-07",,"56","1","3"
"USC00280907","BOONTON 1 SE, NJ US","2014-01-08",,"9","3","8"
"USC00280907","BOONTON 1 SE, NJ US","2014-01-09",,"21","7","16"
"USC00280907","BOONTON 1 SE, NJ US","2014-01-10",,"33","15","26"
"USC00280907","BOONTON 1 SE, NJ US","2014-01-11",,"38","26","37"
"USC00280907","BOONTON 1 SE, NJ US","2014-01-12",,"61","37","42"
"USC00280907","BOONTON 1 SE, NJ US","2014-01-13",,"43","27","28"
"USC00280907","BOONTON 1 SE, NJ US","2014-01-14",,"50","27","39"
"USC00280907","BOONTON 1 SE, NJ US","2014-01-15",,"44","29","29"
"USC00280907","BOONTON 1 SE, NJ US","2014-01-16",,"46","29","37"
"USC00280907","BOONTON 1 SE, NJ US","2014-01-17",,"40","24","25"
"USC00280907","BOONTON 1 SE, NJ US","2014-01-18",,"41","25","33"
"USC00280907","BOONTON 1 SE, NJ US","2014-01-19",,"38","24","25"
"USC00280907","BOONTON 1 SE, NJ US","2014-01-20",,"35","23","34"
"USC00280907","BOONTON 1 SE, NJ US","2014-01-21",,"42","23","23"
"USC00280907","BOONTON 1 SE, NJ US","2014-01-22",,"24","3","4"
"USC00280907","BOONTON 1 SE, NJ US","2014-01-23",,"15","0","5"
"USC00280907","BOONTON 1 SE, NJ US","2014-01-24",,"20","4","8"
